adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
triton.language.le.ttadapter,False,False,False,5120,5120,5120,0.625,0.625,0.625,True,True,0,0,True,
triton.language.load.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.load_tensor_descriptor.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.log.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.log2.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,
triton.language.logical_and.ttadapter,False,False,False,5120,5120,5120,0.625,0.625,0.625,True,True,0,0,True,
triton.language.logical_or.ttadapter,False,False,False,5120,5120,5120,0.625,0.625,0.625,True,True,0,0,True,
triton.language.lshift.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.lt.ttadapter,False,False,False,5120,5120,5120,0.625,0.625,0.625,True,True,0,0,True,
triton.language.make_block_ptr.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.max.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.max_constancy.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.max_contiguous.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.min.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.multiple_of.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.ne.ttadapter,False,False,False,2560,2560,2560,0.3125,0.3125,0.3125,True,True,0,0,True,
triton.language.neg.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.not.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.or.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,
triton.language.permute.ttadapter,False,False,False,9728,9728,9728,1.1875,1.1875,1.1875,True,True,0,0,True,
triton.language.rand.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.randint.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.randn.ttadapter,False,False,False,27136,27136,27136,3.3125,3.3125,3.3125,True,True,0,0,True,
triton.language.range.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.ravel.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.reduce.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.reshape.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.rshift.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.rsqrt.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,
triton.language.sigmoid.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,
triton.language.sin.ttadapter,False,False,False,393216,393216,393216,48.0,48.0,48.0,True,True,0,0,True,
triton.language.softmax.ttadapter,False,False,False,34816,34816,34816,4.25,4.25,4.25,True,True,0,0,True,
triton.language.sort.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,
triton.language.split.ttadapter,False,False,False,512,512,512,0.0625,0.0625,0.0625,True,True,0,0,True,
triton.language.sqrt.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.sqrt_rn.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.static_assert.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.static_print.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.static_range.ttadapter,False,False,False,32512,32512,32512,3.96875,3.96875,3.96875,True,True,0,0,True,
triton.language.sum.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.swizzle2d.ttadapter,False,False,False,3072,3072,3072,0.375,0.375,0.375,True,True,0,0,True,
triton.language.topk.ttadapter,False,False,False,78592,78592,78592,9.59375,9.59375,9.59375,True,True,0,0,True,
triton.language.trans.ttadapter,False,False,False,9728,9728,9728,1.1875,1.1875,1.1875,True,True,0,0,True,
triton.language.umulhi.ttadapter,False,False,False,512,512,512,0.0625,0.0625,0.0625,True,True,0,0,True,
triton.language.view.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.where.ttadapter,False,False,False,6144,6144,6144,0.75,0.75,0.75,True,True,0,0,True,
triton.language.xor.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,
triton.language.xor_sum.ttadapter,False,False,False,1280,1280,1280,0.15625,0.15625,0.15625,True,True,0,0,True,
triton.language.zeros.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.zeros_like.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton_hivm_launch_smoke.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,
vector_add_2x_bench.ttadapter,False,False,False,65536,65536,65536,8.0,8.0,8.0,True,True,0,0,True,
